X,adj,noun,session,n,adj_stem,noun_stem,article,network_id,attncheckscore,x1,x2,x3,x4,x5,range,mean_typ
1978,red,box,6,1,red,box,a,77,1,3,3,2,3,NA,0,2.75
1979,red,bridge,6,1,red,bridg,a,68,1,3,3,4,2,NA,0,3
1980,red,cake,6,1,red,cake,a,33,1,2,3,2,3,NA,1,2.5
1981,red,cart,6,1,red,cart,a,41,1,3,3,3,NA,NA,0,3
1982,red,chair,6,1,red,chair,a,109,1,2,3,3,3,NA,1,2.75
1983,red,clay,6,1,red,clai,NA,51,1,6,5,5,4,NA,1,5
1984,red,couch,6,1,red,couch,a,86,1,3,3,3,5,NA,0,3.5
1985,red,ear,6,1,red,ear,an,104,1,3,1,3,2,NA,2,2.25
1986,red,elephant,6,1,red,eleph,an,59,1,1,1,1,3,NA,0,1.5
1987,red,engine,6,1,red,engin,an,37,1,4,3,2,NA,NA,1,3
1988,red,grocery,6,1,red,groceri,a,85,1,2,3,3,1,NA,1,2.25
1989,red,hand,6,1,red,hand,a,3,1,3,1,2,2,NA,2,2
1990,red,hat,6,1,red,hat,a,80,1,5,3,3,3,NA,2,3.5
1991,red,house,6,1,red,hous,a,40,1,3,3,1,2,NA,0,2.25
1992,red,leg,6,1,red,leg,a,10,1,1,1,1,6,NA,0,2.25
1993,red,lid,6,1,red,lid,a,25,1,3,3,2,5,NA,0,3.25
1994,red,milk,6,1,red,milk,NA,49,1,1,1,1,1,NA,0,1
1995,red,mine,6,1,red,mine,a,42,1,2,1,3,2,NA,1,2
1996,red,mustache,6,1,red,mustach,a,17,1,2,2,2,3,NA,0,2.25
1997,red,paper,6,1,red,paper,a,28,1,3,3,3,3,NA,0,3
1998,red,park,6,1,red,park,a,10,1,1,1,1,6,NA,0,2.25
1999,red,parrot,6,1,red,parrot,a,90,1,3,2,2,3,3,1,2.6
2000,red,sauce,6,1,red,sauc,NA,105,1,5,5,5,5,NA,0,5
2001,red,shirt,6,1,red,shirt,a,29,1,3,4,3,3,NA,1,3.25
2002,red,shoe,6,1,red,shoe,a,56,1,3,5,3,5,NA,2,4
2003,red,square,6,1,red,squar,a,36,1,3,4,2,3,NA,1,3
2004,red,string,6,1,red,string,a,102,1,3,2,3,3,NA,1,2.75
2005,red,tongue,6,1,red,tongu,a,107,1,3,1,3,4,NA,2,2.75
2006,red,top,6,1,red,top,a,58,1,3,3,3,3,NA,0,3
2007,red,train,6,1,red,train,a,93,1,2,2,3,3,NA,0,2.5
2008,red,wheel,6,1,red,wheel,a,83,1,3,3,3,3,NA,0,3
2009,round,home,6,1,round,home,a,43,1,1,2,1,2,NA,1,1.5
2010,rubber,chicken,6,1,rubber,chicken,a,96,1,3,2,2,NA,NA,1,2.3333333333333335
2011,salty,chicken,6,1,salti,chicken,a,28,1,1,3,2,4,NA,2,2.5
2012,salty,chip,6,1,salti,chip,a,103,1,5,3,5,3,NA,2,4
2013,salty,sandwich,6,1,salti,sandwich,a,48,1,4,3,2,3,NA,1,3
2014,sandy,pocket,6,1,sandi,pocket,a,96,1,2,2,2,NA,NA,0,2
2015,sandy,shoe,6,1,sandi,shoe,a,32,1,3,2,3,4,NA,1,3
2016,silky,mask,6,1,silki,mask,a,14,1,6,2,4,NA,NA,4,4
2017,silver,box,6,1,silver,box,a,42,1,2,2,2,3,NA,0,2.25
2018,silver,car,6,1,silver,car,a,80,1,3,5,3,3,NA,2,3.5
2019,silver,cone,6,1,silver,cone,a,102,1,2,1,2,2,NA,1,1.75
2020,silver,grey,6,1,silver,grei,NA,75,1,5,3,1,3,NA,2,3
2021,silver,nose,6,1,silver,nose,a,76,1,1,2,2,NA,NA,1,1.6666666666666667
2022,silver,rocket,6,1,silver,rocket,a,83,1,4,3,5,3,NA,1,3.75
2023,silver,ship,6,1,silver,ship,a,1,1,3,4,3,3,NA,1,3.25
2024,solar,star,6,1,solar,star,a,24,1,4,2,2,4,NA,2,3
2025,stormy,day,6,1,stormi,dai,a,68,1,3,2,2,3,NA,1,2.5
2026,sweaty,foot,6,1,sweati,foot,a,54,1,3,5,5,3,NA,2,4
2027,teal,color,6,1,teal,color,a,78,1,2,3,2,3,NA,1,2.5
2028,teal,wedding,6,1,teal,wed,a,88,1,2,5,3,2,NA,3,3
2029,thick,oil,6,1,thick,oil,NA,66,1,5,7,3,4,NA,2,4.75
2030,thick,olive,6,1,thick,oliv,an,51,1,4,3,5,4,NA,1,4
2031,upstairs,food,6,1,upstair,food,NA,4,1,3,1,2,4,NA,2,2.5
2032,wet,bucket,6,1,wet,bucket,a,36,1,3,6,3,2,NA,3,3.5
2033,wet,cup,6,1,wet,cup,a,110,1,3,2,5,3,5,1,3.6
2034,wet,diaper,6,1,wet,diaper,a,94,1,5,3,3,5,NA,2,4
2035,wet,dress,6,1,wet,dress,a,107,1,2,2,2,2,NA,0,2
2036,wet,hand,6,1,wet,hand,a,70,1,4,2,3,3,NA,2,3
2037,wet,house,6,1,wet,hous,a,107,1,3,2,2,2,NA,1,2.25
2038,wet,mail,6,1,wet,mail,NA,58,1,2,3,2,2,NA,1,2.25
2039,wet,shirt,6,1,wet,shirt,a,8,1,4,3,2,2,NA,1,2.75
2040,wet,shoe,6,1,wet,shoe,a,9,1,3,3,3,3,NA,0,3
2041,wet,swing,6,1,wet,swing,a,35,1,3,3,2,3,NA,0,2.75
2042,wet,tea,6,1,wet,tea,NA,26,1,5,7,2,6,NA,2,5
2043,wooden,board,6,1,wooden,board,a,20,1,5,5,3,4,NA,0,4.25
2044,wooden,kitchen,6,1,wooden,kitchen,a,57,1,2,4,3,1,NA,2,2.5
2045,wooden,knife,6,1,wooden,knife,a,60,1,2,2,2,3,1,0,2
2046,wooden,piece,6,1,wooden,piec,a,51,1,5,3,3,3,NA,2,3.5
2047,wooden,pot,6,1,wooden,pot,a,38,1,2,1,1,4,NA,1,2
2048,yellow,apple,6,1,yellow,appl,an,31,1,5,3,3,5,NA,2,4
2049,yellow,bird,6,1,yellow,bird,a,22,1,3,3,3,3,NA,0,3
2050,yellow,bread,6,1,yellow,bread,NA,84,1,4,4,3,2,NA,0,3.25
2051,yellow,broom,6,1,yellow,broom,a,27,1,3,4,4,3,NA,1,3.5
