id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
410,2019-10-10 21:06:14.367718,green,suit,,,,f,,{},info,133,37,2
412,2019-10-10 21:06:15.630205,light,phone,,,,f,,{},info,130,52,5
1039,2019-10-10 21:12:21.216761,soapy,day,,,,f,,{},info,164,70,1
415,2019-10-10 21:06:18.36222,red,cheek,,,,f,,{},info,133,37,3
984,2019-10-10 21:12:00.632854,orange,flower,,,,f,,{},info,156,93,2
417,2019-10-10 21:06:18.833895,wet,leaf,,,,f,,{},info,134,90,5
420,2019-10-10 21:06:20.687272,red,dog,,,,f,,{},info,133,37,2
1066,2019-10-10 21:12:32.281026,green,broccoli,,,,f,,{},info,166,103,6
1071,2019-10-10 21:12:33.025293,red,stripe,,,,f,,{},info,163,37,4
1097,2019-10-10 21:12:42.541573,marine,tank,,,,f,,{},info,169,59,5
1116,2019-10-10 21:12:48.902579,wet,rug,,,,f,,{},info,175,76,3
1140,2019-10-10 21:12:56.387566,orange,table,,,,f,,{},info,173,97,5
8754,2019-10-10 22:27:27.82692,bright,moonlight,,,,f,,{},info,553,68,3
1142,2019-10-10 21:12:56.71187,orange,car,,,,f,,{},info,170,109,3
1981,2019-10-10 21:17:53.01456,red,goldfish,,,,f,,{},info,213,70,3
31,2019-10-10 21:02:50.946567,brown,gravy,,,,f,,{},info,113,44,3
44,2019-10-10 21:02:58.964416,,,,,,f,,{},info,68,68,"{{dead,bone,a},{orange,tiger,a},{yellow,card,a},{stormy,day,a},{green,telephone,a},{green,shoe,a},{bright,moonlight,NA},{red,bridge,a},{giant,cat,a},{hot,oven,an},{yellow,cupcake,a},{hot,tea,NA},{slippery,leg,a},{pink,ear,an},{giant,book,a},{green,sock,a},{red,pillow,a},{flat,cup,a},{wooden,hand,a},{red,grain,NA}}"
58,2019-10-10 21:03:07.437017,giant,movie,,,,f,,{},info,114,96,1
199,2019-10-10 21:04:26.993367,pink,cap,,,,f,,{},info,119,39,2
93,2019-10-10 21:03:27.642044,fuzzy,stick,,,,f,,{},info,119,39,3
94,2019-10-10 21:03:28.08771,orange,fish,,,,f,,{},info,118,64,4
97,2019-10-10 21:03:29.612334,dirty,straw,,,,f,,{},info,114,96,3
203,2019-10-10 21:04:29.444903,thick,air,,,,f,,{},info,124,106,3
105,2019-10-10 21:03:34.098628,dirty,shirt,,,,f,,{},info,118,64,6
133,2019-10-10 21:03:48.164585,plastic,fork,,,,f,,{},info,113,44,3
302,2019-10-10 21:05:13.730983,purple,mouse,,,,f,,{},info,118,64,1
143,2019-10-10 21:03:55.450929,red,tractor,,,,f,,{},info,113,44,3
205,2019-10-10 21:04:30.064947,red,letter,,,,f,,{},info,120,53,1
149,2019-10-10 21:03:59.535278,furry,dog,,,,f,,{},info,113,44,6
190,2019-10-10 21:04:24.09635,orange,stripe,,,,f,,{},info,118,64,3
207,2019-10-10 21:04:31.172736,yellow,tooth,,,,f,,{},info,124,106,2
218,2019-10-10 21:04:34.86459,purple,bus,,,,f,,{},info,119,39,2
304,2019-10-10 21:05:14.989528,dead,battery,,,,f,,{},info,126,53,5
225,2019-10-10 21:04:37.017849,purple,cap,,,,f,,{},info,119,39,2
234,2019-10-10 21:04:40.667542,fat,bunny,,,,f,,{},info,119,39,3
964,2019-10-10 21:11:50.857775,green,alligator,,,,f,,{},info,159,34,4
236,2019-10-10 21:04:41.037651,giant,leopard,,,,f,,{},info,124,106,3
305,2019-10-10 21:05:16.027575,brown,mustache,,,,f,,{},info,129,100,3
239,2019-10-10 21:04:43.084478,dirty,mouth,,,,f,,{},info,124,106,3
241,2019-10-10 21:04:43.637078,pink,bowl,,,,f,,{},info,124,106,2
972,2019-10-10 21:11:53.464,,,,,,f,,{},info,106,106,"{{red,wrapper,a},{brown,fish,a},{thick,air,NA},{yellow,tooth,a},{hot,cream,NA},{square,diamond,a},{purple,dolphin,a},{wooden,track,a},{fat,body,a},{hot,powder,a},{red,bat,a},{giant,leopard,a},{round,corner,a},{wooden,guy,a},{dirty,mouth,a},{pink,bowl,a},{hot,table,a},{dark,kitchen,a},{wet,game,a},{back,garden,a}}"
